,median_income,total_population,tract,race,population
24,50865.0,3160.0,110100,white_non_hispanic,1104.0
1522,32356.0,2977.0,110300,hispanic,2313.0
1656,10463.0,2507.0,110500,hispanic,2245.0
519,15250.0,5293.0,110600,black_non_hispanic,593.0
1108,18256.0,1171.0,110700,other_non_hispanic,51.0
1660,28378.0,2024.0,110800,hispanic,1328.0
293,83696.0,1669.0,110900,white_non_hispanic,867.0
1200,42143.0,2948.0,111000,other_non_hispanic,136.0
1206,79940.0,4844.0,120100,other_non_hispanic,246.0
26,141048.0,8374.0,120300,white_non_hispanic,6169.0
355,166641.0,6326.0,120400,white_non_hispanic,4704.0
396,45293.0,9985.0,120501,black_non_hispanic,1072.0
1305,35596.0,5327.0,120502,other_non_hispanic,233.0
30,54279.0,5850.0,120600,white_non_hispanic,3199.0
167,51633.0,6416.0,120701,white_non_hispanic,2746.0
165,63580.0,4614.0,120702,white_non_hispanic,2425.0
216,96455.0,6934.0,120800,white_non_hispanic,5572.0
1258,36280.0,2457.0,120901,other_non_hispanic,95.0
537,50184.0,7551.0,120902,black_non_hispanic,1504.0
1342,47095.0,7798.0,121000,other_non_hispanic,312.0
166,64109.0,8109.0,121108,white_non_hispanic,4523.0
33,82417.0,5188.0,121110,white_non_hispanic,2387.0
1395,58130.0,6917.0,121111,other_non_hispanic,538.0
79,55998.0,3717.0,121112,white_non_hispanic,1731.0
115,79743.0,5755.0,121115,white_non_hispanic,3709.0
351,52592.0,5399.0,121116,white_non_hispanic,2471.0
75,70164.0,4623.0,121117,white_non_hispanic,2257.0
304,66321.0,6263.0,121118,white_non_hispanic,3557.0
840,60109.0,6176.0,121119,asian_non_hispanic,335.0
440,80171.0,5183.0,121120,black_non_hispanic,513.0
303,107083.0,2908.0,121121,white_non_hispanic,1628.0
305,95030.0,6009.0,121122,white_non_hispanic,3248.0
1669,43604.0,4727.0,121203,hispanic,3321.0
393,38651.0,7789.0,121204,black_non_hispanic,1672.0
621,41029.0,4627.0,121205,black_non_hispanic,459.0
718,53344.0,8742.0,121206,black_non_hispanic,1021.0
848,75679.0,6588.0,121300,asian_non_hispanic,442.0
625,55051.0,7500.0,121402,black_non_hispanic,1315.0
541,43273.0,6281.0,121403,black_non_hispanic,1015.0
485,23607.0,5548.0,121404,black_non_hispanic,1255.0
1309,81238.0,10037.0,121501,other_non_hispanic,549.0
542,59202.0,6553.0,121504,black_non_hispanic,1307.0
1446,58750.0,4858.0,121505,other_non_hispanic,290.0
543,55245.0,4004.0,121506,black_non_hispanic,757.0
1399,58125.0,4531.0,121507,other_non_hispanic,248.0
719,48167.0,4563.0,121508,black_non_hispanic,1030.0
723,45250.0,5657.0,121601,black_non_hispanic,670.0
1216,62602.0,9259.0,121604,other_non_hispanic,579.0
264,57450.0,2027.0,121605,white_non_hispanic,1164.0
1400,55321.0,5015.0,121606,other_non_hispanic,269.0
1127,64321.0,4679.0,121701,other_non_hispanic,191.0
990,69684.0,7880.0,121702,asian_non_hispanic,610.0
38,58467.0,8497.0,121802,white_non_hispanic,3896.0
444,58903.0,4994.0,121803,black_non_hispanic,561.0
35,50938.0,7217.0,121804,white_non_hispanic,2922.0
220,81310.0,3343.0,121808,white_non_hispanic,1584.0
81,74828.0,5117.0,121809,white_non_hispanic,2355.0
176,87409.0,4891.0,121810,white_non_hispanic,2188.0
984,80815.0,5616.0,121811,asian_non_hispanic,339.0
83,66613.0,6881.0,121812,white_non_hispanic,3119.0
312,73125.0,1738.0,121813,white_non_hispanic,786.0
258,87857.0,5883.0,121903,white_non_hispanic,3236.0
941,114421.0,3176.0,121904,asian_non_hispanic,359.0
845,85543.0,5438.0,121905,asian_non_hispanic,394.0
77,86056.0,5583.0,121906,white_non_hispanic,3312.0
84,89855.0,13024.0,121907,white_non_hispanic,6070.0
