SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
162,36,0,51000,0,0,0,A,New York city,New York,8175133,8174930,8190105,8272864,8346715,8396207,8433867,8463157,8468954,8437695,8396614,8342925,8283150,8253213
162,6,0,44000,0,0,0,A,Los Angeles city,California,3792621,3793206,3795206,3818812,3847857,3877721,3904102,3933644,3957520,3975067,3981140,3982885,3976825,3970219
162,17,0,14000,0,0,0,A,Chicago city,Illinois,2695598,2695674,2697480,2708067,2719039,2725575,2726800,2724006,2716297,2710456,2700968,2691497,2683091,2677643
162,48,0,35000,0,0,0,A,Houston city,Texas,2099451,2092919,2097647,2123298,2158700,2196367,2238653,2283616,2306360,2313079,2314478,2315720,2317660,2316120
162,4,0,55000,0,0,0,A,Phoenix city,Arizona,1445632,1446682,1448998,1469770,1499250,1526505,1555485,1583760,1612303,1633704,1655082,1682933,1702991,1708127
162,42,0,60000,0,0,0,A,Philadelphia city,Pennsylvania,1526006,1525999,1528303,1540615,1552087,1558713,1565949,1571679,1576604,1581699,1586422,1584439,1581124,1578487
162,48,0,65000,0,0,0,A,San Antonio city,Texas,1327407,1326819,1332966,1357807,1383810,1409091,1436214,1464839,1488500,1511566,1530829,1547256,1563262,1567118
162,6,0,66000,0,0,0,A,San Diego city,California,1307402,1301927,1305632,1319189,1335155,1352997,1372024,1387567,1400130,1409982,1420070,1420200,1422710,1422420
162,48,0,19000,0,0,0,A,Dallas city,Texas,1197816,1197672,1200360,1218214,1241950,1258580,1278737,1300859,1323587,1342275,1341692,1343192,1344223,1343266
162,6,0,68000,0,0,0,A,San Jose city,California,945942,952354,954552,968925,983532,999599,1014909,1028131,1034851,1037082,1034877,1026528,1018006,1013616
