,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
27,162,47,0,48000,0,0,0,A,Memphis city,Tennessee,646889,651874,652349,655434,658961,657386,655299,654469,653026,651398,651700,650998,650418,649705
28,162,21,0,48006,0,0,0,F,Louisville/Jefferson County metro government (balance),Kentucky,597337,595730,596518,600002,604389,610672,612890,615679,617838,620183,618997,618490,618684,618338
13,162,39,0,18000,0,0,0,A,Columbus city,Ohio,787033,789007,790942,800677,812872,827994,841931,855276,867384,882253,891448,899908,903335,903852
16,162,6,0,67000,0,0,0,A,San Francisco city,California,805235,805184,805519,815694,828963,839695,850918,863237,871343,877471,879676,878826,870561,866606
85,162,32,0,60600,0,0,0,A,Reno city,Nevada,225221,225325,225668,227103,228994,231081,234209,238169,242281,246733,250261,256058,258628,259290
82,162,4,0,65000,0,0,0,A,Scottsdale city,Arizona,217385,217486,217627,220808,225184,228885,233951,241079,247963,251424,254565,258443,261825,262647
0,162,36,0,51000,0,0,0,A,New York city,New York,8175133,8174930,8190105,8272864,8346715,8396207,8433867,8463157,8468954,8437695,8396614,8342925,8283150,8253213
109,162,12,0,58715,0,0,0,A,Port St. Lucie city,Florida,164603,164200,164860,166316,167948,169479,172757,177798,183634,189131,194740,201699,207847,209715
24,162,32,0,40000,0,0,0,A,Las Vegas city,Nevada,583756,584500,584600,586682,593406,599739,608216,617820,626952,635746,644055,653963,660769,662368
30,162,24,0,4000,0,0,0,A,Baltimore city,Maryland,620961,620777,620942,620493,623035,622591,623833,622831,616542,610853,603241,594601,588649,586131
